,Term,Category
2,abarognose,CONDITION
3,Abboticin,SUBSTANCE
6,abdominalangiografi,PROCEDURE
7,abdominalblødning,CONDITION
8,abdominalgia,CONDITION
10,abdominoskopi,PROCEDURE
11,abducensparese,CONDITION
12,paresis nervi abducentis,CONDITION
17,aberrant konduksjon,CONDITION
18,abetalipoproteinemi,CONDITION
19,Abilify,SUBSTANCE
20,abiosis,CONDITION
21,abiotrofi,CONDITION
22,ablasjon,CONDITION
23,ablatio,SUBSTANCE
24,ablatio mammae,PROCEDURE
25,ablatio placentae (prematura),SUBSTANCE
26,ablatio testis,PROCEDURE
27,abnorm alkoholreaksjon,CONDITION
29,abnormitet,CONDITION
30,abortfremkallende middel,SUBSTANCE
31,abortmidler,SUBSTANCE
32,abortpille,SUBSTANCE
33,abrachiocephalus,CONDITION
34,abrachius,CONDITION
35,abscess,CONDITION
36,abscessus fossae Douglasi,CONDITION
37,abscessus tuberculosis,CONDITION
38,absentisme,CONDITION
39,abstinenssymptomer,CONDITION
40,akantolyse,CONDITION
41,acanthosis nigricans,CONDITION
42,acariasis,CONDITION
43,accouchement,SUBSTANCE
44,ACD-løsning,SUBSTANCE
45,ACE-hemmere,SUBSTANCE
46,angiotensin convertingenzyme-hemmere,SUBSTANCE
47,angiotensinkonverterende enzymhemmere,SUBSTANCE
48,acesulfam K,SUBSTANCE
49,acetonemi,CONDITION
50,acetylatorer,SUBSTANCE
51,acetyl-coenzym A,SUBSTANCE
52,acetylcystein,CONDITION
54,acetylsalisylsyre,SUBSTANCE
55,a chaud,CONDITION
56,achili,CONDITION
57,achlorhydri,CONDITION
58,acholi,CONDITION
59,achondroplasi,CONDITION
60,acidifiserende behandling,PROCEDURE
62,Lactobacillus acidophilus,SUBSTANCE
63,acidosis,CONDITION
64,aciduri,CONDITION
65,aciklovir,SUBSTANCE
66,acinus,CONDITION
67,acitretin,SUBSTANCE
68,aconitin,SUBSTANCE
69,acrodermatitis enteropathica,CONDITION
70,acrodermatitis infantum papulosa,CONDITION
71,ACTH,SUBSTANCE
72,acting-out atferd,CONDITION
74,Actinomyces,SUBSTANCE
76,acusticusnevrinom,CONDITION
77,adaktyli,CONDITION
78,adactylia,CONDITION
79,Adalat,SUBSTANCE
80,adalimumab,PROCEDURE
81,adamantinoma,CONDITION
82,Adams-Stokes' syndrom,CONDITION
83,adaptasjonssyndrom,CONDITION
84,addictio,CONDITION
85,addiksjon,CONDITION
86,Addisons sykdom,CONDITION
87,additiv,SUBSTANCE
94,adenektomi,PROCEDURE
95,adenitt,CONDITION
96,adenitis,CONDITION
97,adenocystom,CONDITION
98,adenofibrom,CONDITION
99,adenoflegmone,CONDITION
100,adenoidektomi,PROCEDURE
101,adenokarsinoid,CONDITION
102,adenokarsinom,CONDITION
103,-carsinoma,CONDITION
104,adenokondrom,CONDITION
105,adenom,CONDITION
106,adenomatoid odontogenic tumour,CONDITION
107,adenomatose,CONDITION
108,adenomyom,CONDITION
109,adenopati,CONDITION
110,adenosarkom,CONDITION
111,-sarcoma,CONDITION
112,adenosin,SUBSTANCE
113,adenosindeaminasemangel,CONDITION
114,adenosinfosfat,SUBSTANCE
115,adenosinstimulering,PROCEDURE
116,adenosintrifosfatase,SUBSTANCE
117,adenosklerose,CONDITION
118,adenotomi,PROCEDURE
121,ADHD,CONDITION
122,AD/HD,CONDITION
123,adhesin,SUBSTANCE
124,ad hoc,PROCEDURE
125,adiadokokinesis,CONDITION
126,adiafori,CONDITION
127,Adies tegn,CONDITION
128,adipektomi,PROCEDURE
129,adipocele,CONDITION
130,adipoma,CONDITION
131,adiponektin,SUBSTANCE
132,adiposalgi,CONDITION
133,adipositas dolorosa,CONDITION
134,adiposogenital dystrofi,CONDITION
135,adjuvans,SUBSTANCE
136,ad mortem,CONDITION
138,adopsjonsundersøkelser,PROCEDURE
140,adrenalektomi,PROCEDURE
141,-ectomia,PROCEDURE
142,adrenalitt,CONDITION
143,adrenogenitalt syndrom,CONDITION
144,adrenokortikotropt hormon,SUBSTANCE
145,adrenolevkodystrofi,CONDITION
147,adult respiratory distress syndrome,CONDITION
149,adynamia episodica hereditaria,CONDITION
150,Aedes aegypti,CONDITION
151,AER,PROCEDURE
152,"auditivt evoked respons,",PROCEDURE
153,Aerius,SUBSTANCE
155,aerob infeksjon,CONDITION
157,aerodontalgia,CONDITION
158,aeroencefalografi,PROCEDURE
159,aerofagi,CONDITION
160,aerosinusitt,CONDITION
162,afagi,CONDITION
164,aferese,PROCEDURE
165,affeksjon,CONDITION
166,affectio,CONDITION
167,affektavflatning,CONDITION
168,affektiv lidelse,CONDITION
169,affektiv psykose,CONDITION
170,affektkrampe,CONDITION
171,affektlabilitet,CONDITION
172,afferent loop syndrom,CONDITION
173,affinitet,SUBSTANCE
174,afibrinogenemi,CONDITION
175,Afipran,SUBSTANCE
176,aflatoksin,SUBSTANCE
178,AFP,SUBSTANCE
179,afrikansk sovesyke,CONDITION
180,afroditisme,CONDITION
181,agalakti,CONDITION
182,agammaglobulinemi,CONDITION
183,-aemia,CONDITION
184,agglutinin,SUBSTANCE
185,aggregasjon,CONDITION
186,aggresjon,CONDITION
187,aggresjonsforstyrrelser,CONDITION
188,agitasjon,CONDITION
189,aglossi,CONDITION
190,agonadisme,CONDITION
191,agonal,CONDITION
192,agonalis,CONDITION
193,agoni,CONDITION
194,agrafi,PROCEDURE
195,agranulocytose,CONDITION
196,-cytosis,CONDITION
198,aids,CONDITION
200,ajmalin,SUBSTANCE
202,akantom,CONDITION
203,akantose,CONDITION
204,acanthosis,CONDITION
205,akarinose,CONDITION
